stored in this format: name: calories: protein: carbs: fat
Big Mac: 590: 25: 46: 34
Quarter Pounder with Cheese: 520: 30: 42: 26
Double Quarter Pounder with Cheese: 740: 48: 43: 42
Quarter Pounder with Cheese Deluxe: 630: 30: 44: 37
McDouble: 390: 22: 32: 20
Quarter Pounder with Cheese Bacon: 630: 36: 43: 35
Cheeseburger: 300: 15: 31: 13
Double Cheeseburger: 440: 25: 34: 24
Hamburger, The Classic McDonald's Burger: 250: 12: 30: 9
