stored in this format: name: calories: protein: carbs: fat
McCrispy: 470: 26: 46: 20
Deluxe McCrispy: 530: 27: 48: 26
Spicy McCrispy: 530: 27: 48: 26
Spicy Deluxe McCrispy: 530: 27: 49: 26
Filet-O-Fish: 380: 16: 38: 19
McChicken: 390: 14: 38: 21
