stored in this format: name: calories: protein: carbs: fat
Small Fries: 230: 3: 31: 11
Medium Fries: 320: 5: 43: 15
Large Fries: 480: 7: 65: 23
Apple Slices: 15: 0: 4: 0
Tangy Barbeque Sauce: 45: 0: 11: 0
Spicy Buffalo Sauce: 30: 0: 1: 3
