stored in this format: name: calories: protein: carbs: fat
Beijing Beef: 480: 14: 46: 27
Black Pepper Angus Steak: 210: 19: 13: 10
Broccoli Beef: 150: 9: 13: 7
Honey Walnut Shrimp: 360: 11: 27: 24
Wok-Fried Shrimp: 190: 17: 19: 5
Golden-Treasure Shrimp: 360: 14: 35: 18
Steamed Ginger Fish: 200: 15: 8: 12
