stored in this format: name: calories: protein: carbs: fat
Frosted Lemonade: 320: 6: 65: 6
Frosted Lemonade w/ Diet Lemonade: 250: 6: 46: 6
Banana Frosted Coffee: 480: 8: 94: 9
Frosted Coffee: 230: 6: 39: 6
Chocolate Chunk Cookie: 370: 5: 49: 17
Chocolate Fudge Brownie: 370: 4: 47: 21
Banana Pudding Milkshake: 700: 12: 117: 22
Cookies & Cream Milkshake: 630: 13: 90: 26
Chocolate Milkshake: 590: 12: 90: 22
Strawberry Milkshake: 590: 11: 93: 20
Vanilla Milkshake: 580: 13: 82: 23
Chik-fil-A Icedream Cone: 180: 4: 32: 4
Chick-fil-A Icedream Cup: 140: 4: 24: 4
